rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk,adjt
43,Kentucky,SEC,15-7,118.2273,55,100.7356,49,0.863098,43,18.69193,12.30807,9.691935,8.308065,3-Jun,0.656908,0.529433,0.841039,0.722528,0.529433,0.861986,0.596129,0.719402,115.4312,105.7182,117.2635,103.9762,118.0746,101.7411,115.9095,101.3198,0.82449,12,0.088808,686,682,611.3875,1.122038,1.115495,0.882933,0.666667,2.260127,31,27,67.57045
44,Washington,B10,10-Dec,116.923,69,100.187,41,0.855263,44,17.61267,13.38733,9.612674,10.38733,7-Apr,0.704314,0.518009,0.890619,0.71753,0.518009,0.827267,0.658158,0.837878,116.9339,104.7684,116.5997,104.5442,121.3253,103.0968,119.7897,102.8138,0.852884,12,-0.02723,813,835,729.9,1.113851,1.143992,0.749838,0.363636,-0.47146,62,251,66.84554
45,Miami FL,ACC,17-5,119.234,49,102.2745,63,0.853761,45,21.51337,9.486633,10.51337,7.486633,3-Jun,0.539688,0.41149,0.724864,0.616579,0.41149,0.7647,0.730111,0.837345,109.8592,107.8927,112.0195,105.8522,119.4535,104.3664,110.3665,96.24271,0.828457,4,0.036166,700,662,614.0625,1.139949,1.078066,0.804536,0.666667,0.864911,45,89,68.83633
46,UCF,B12,17-4,121.4926,37,104.9721,91,0.843014,46,21.57521,8.424793,10.57521,7.424793,3-Jun,0.649396,0.500822,0.847496,0.698034,0.500822,0.829509,0.679653,0.831117,113.9966,105.395,114.8076,104.0073,120.6652,103.1565,122.4061,104.0686,0.866039,7,0.173995,708,720,640.9125,1.104675,1.123398,0.811523,0.666667,3.466786,17,3,68.75829
47,USC,B10,17-6,114.8587,79,99.47673,34,0.839357,47,20.4958,10.5042,9.495796,10.5042,6-Jun,0.648373,0.467923,0.813785,0.698719,0.467923,0.825657,0.660862,0.863844,114.5229,104.7344,116.1411,104.0381,113.452,98.41243,111.068,94.01913,0.871737,7,0.120956,869,914,841.6,1.032557,1.086027,0.843464,0.5,2.479319,27,12,69.96757
48,Grand Canyon,MWC,15-7,110.286,142,95.87833,17,0.833406,48,21.08993,9.910071,14.08993,5.910071,3-Aug,0.562105,0.450634,0.673576,0.576628,0.450634,0.645925,0.770522,0.819734,111.0396,107.5299,111.053,106.8819,111.6889,93.51151,106.0313,91.40071,0.846516,7,-0.01222,806,735,757.0125,1.064712,0.970922,0.612129,0.727273,-0.67411,63,213,67.68689
49,Cincinnati,B12,11-Nov,106.9692,211,93.27858,6,0.828485,49,15.5003,15.4997,7.500301,10.4997,6-Mar,0.631064,0.467118,0.867876,0.682233,0.467118,0.837594,0.662238,0.825267,113.6585,104.8384,114.9572,104.0875,110.1949,92.76188,109.2047,94.96923,0.832885,9,-0.09621,588,632,596.1875,0.986267,1.060069,0.807311,0.333333,-2.60946,88,345,68.16424
50,Nevada,MWC,16-7,119.6339,46,105.1974,96,0.814403,50,21.09883,9.901175,13.09883,6.901175,4-Aug,0.630461,0.593022,0.664779,0.629204,0.593022,0.649104,0.771468,0.81742,111.682,105.4295,111.4367,105.3128,121.2229,104.3943,116.3129,108.8566,0.681769,6,0.031164,927,847,796.0125,1.164555,1.064054,0.625592,0.666667,-0.27362,59,95,65.24866
51,Seton Hall,BE,16-6,108.1782,186,95.52281,16,0.807021,51,20.20482,10.79518,10.20482,9.795184,5-Jun,0.604518,0.43658,0.772455,0.66041,0.43658,0.783516,0.72034,0.85583,112.3118,107.0043,113.9656,105.7394,104.5873,95.87695,114.6602,95.86986,0.886783,5,0.080308,744,735,734.15,1.013417,1.001158,0.797035,0.545455,0.687419,49,33,65.61578
52,Tulsa,Amer,19-3,124.3345,18,109.867,199,0.805746,52,25.58638,5.413617,13.58638,4.413617,2-Jul,0.448728,0.378185,0.550624,0.468864,0.378185,0.534355,0.878253,0.912168,107.9984,108.4693,108.4873,108.7039,126.6349,109.5871,0,0,0,0,0.056985,772,660,614.3125,1.256689,1.074372,0.518086,0.777778,0.358448,53,59,68.20655
